"","year","month","day","objects","weights_lbs"
"1",2018,8,12,"raisin",19.75
"2",2018,8,12,"simone",10.875
"3",2018,8,12,"gagne",10.625
"4",2018,8,12,"std",NA
"5",2018,8,19,"raisin",20.1875
"6",2018,8,19,"simone",11.125
"7",2018,8,19,"gagne",10.75
"8",2018,8,19,"std",20.9875
"9",2018,8,22,"raisin",20.25
"10",2018,8,22,"simone",11.25
"11",2018,8,22,"gagne",10.8125
"12",2018,8,22,"std",20.975
"13",2018,8,24,"raisin",19.8125
"14",2018,8,24,"simone",11.25
"15",2018,8,24,"gagne",11.0625
"16",2018,8,24,"std",20.975
"17",2018,8,27,"raisin",19.375
"18",2018,8,27,"simone",10.5
"19",2018,8,27,"gagne",10.375
"20",2018,8,27,"std",20.975
"21",2018,8,28,"raisin",NA
"22",2018,8,28,"simone",NA
"23",2018,8,28,"gagne",NA
"24",2018,8,28,"std",NA
"25",2018,8,29,"raisin",19.375
"26",2018,8,29,"simone",11
"27",2018,8,29,"gagne",11.0625
"28",2018,8,29,"std",20.975
"29",2018,8,30,"raisin",NA
"30",2018,8,30,"simone",NA
"31",2018,8,30,"gagne",NA
"32",2018,8,30,"std",NA
"33",2018,8,31,"raisin",19.5625
"34",2018,8,31,"simone",11
"35",2018,8,31,"gagne",10.75
"36",2018,8,31,"std",20.975
"37",2018,9,1,"raisin",NA
"38",2018,9,1,"simone",NA
"39",2018,9,1,"gagne",NA
"40",2018,9,1,"std",NA
"41",2018,9,2,"raisin",19.625
"42",2018,9,2,"simone",10.8125
"43",2018,9,2,"gagne",10.625
"44",2018,9,2,"std",20.975
"45",2018,9,3,"raisin",19.5
"46",2018,9,3,"simone",10.9375
"47",2018,9,3,"gagne",10.8125
"48",2018,9,3,"std",20.975
"49",2018,9,4,"raisin",19.5625
"50",2018,9,4,"simone",11
"51",2018,9,4,"gagne",10.9375
"52",2018,9,4,"std",20.975
"53",2018,9,5,"raisin",19.5
"54",2018,9,5,"simone",11.125
"55",2018,9,5,"gagne",11
"56",2018,9,5,"std",20.975
"57",2018,9,6,"raisin",19.4375
"58",2018,9,6,"simone",11
"59",2018,9,6,"gagne",10.6875
"60",2018,9,6,"std",20.975
"61",2018,9,7,"raisin",19.375
"62",2018,9,7,"simone",11.0625
"63",2018,9,7,"gagne",11.125
"64",2018,9,7,"std",20.975
"65",2018,9,8,"raisin",19.4375
"66",2018,9,8,"simone",11.25
"67",2018,9,8,"gagne",10.9375
"68",2018,9,8,"std",20.975
"69",2018,9,9,"raisin",19.5
"70",2018,9,9,"simone",11.125
"71",2018,9,9,"gagne",10.8125
"72",2018,9,9,"std",20.975
"73",2018,9,10,"raisin",19.4375
"74",2018,9,10,"simone",11.125
"75",2018,9,10,"gagne",10.8125
"76",2018,9,10,"std",20.975
"77",2018,9,11,"raisin",19.5
"78",2018,9,11,"simone",10.9375
"79",2018,9,11,"gagne",11
"80",2018,9,11,"std",20.975
"81",2018,9,12,"raisin",19.5
"82",2018,9,12,"simone",11.0625
"83",2018,9,12,"gagne",11
"84",2018,9,12,"std",20.975
"85",2018,9,13,"raisin",19.4375
"86",2018,9,13,"simone",11.1875
"87",2018,9,13,"gagne",11
"88",2018,9,13,"std",20.975
"89",2018,9,14,"raisin",19.625
"90",2018,9,14,"simone",11.0625
"91",2018,9,14,"gagne",11.0625
"92",2018,9,14,"std",20.975
"93",2018,9,15,"raisin",19.5
"94",2018,9,15,"simone",NA
"95",2018,9,15,"gagne",NA
"96",2018,9,15,"std",20.975
"97",2018,9,16,"raisin",19.5625
"98",2018,9,16,"simone",11
"99",2018,9,16,"gagne",11.0625
"100",2018,9,16,"std",20.975
"101",2018,10,1,"raisin",19
"102",2018,10,1,"simone",10.25
"103",2018,10,1,"gagne",10.25
"104",2018,10,1,"std",NA
"105",2018,10,2,"raisin",19.375
"106",2018,10,2,"simone",11
"107",2018,10,2,"gagne",10.75
"108",2018,10,2,"std",20.975
"109",2018,10,3,"raisin",19
"110",2018,10,3,"simone",10.625
"111",2018,10,3,"gagne",10.1875
"112",2018,10,3,"std",20.975
"113",2018,10,4,"raisin",18.9375
"114",2018,10,4,"simone",10.5625
"115",2018,10,4,"gagne",10.25
"116",2018,10,4,"std",20.975
"117",2018,10,9,"raisin",19.625
"118",2018,10,9,"simone",10.625
"119",2018,10,9,"gagne",10.6875
"120",2018,10,9,"std",20.975
"121",2018,10,10,"raisin",19.125
"122",2018,10,10,"simone",10.6875
"123",2018,10,10,"gagne",10.6875
"124",2018,10,10,"std",20.975
"125",2018,10,11,"raisin",19.125
"126",2018,10,11,"simone",10.6875
"127",2018,10,11,"gagne",10.5625
"128",2018,10,11,"std",20.975
"129",2018,10,12,"raisin",19.0625
"130",2018,10,12,"simone",10.625
"131",2018,10,12,"gagne",10.6875
"132",2018,10,12,"std",20.975
"133",2018,10,13,"raisin",19.3125
"134",2018,10,13,"simone",10.5625
"135",2018,10,13,"gagne",10.6875
"136",2018,10,13,"std",20.975
"137",2018,10,14,"raisin",19.0625
"138",2018,10,14,"simone",10.5625
"139",2018,10,14,"gagne",10.6875
"140",2018,10,14,"std",20.975
"141",2018,10,15,"raisin",19.25
"142",2018,10,15,"simone",NA
"143",2018,10,15,"gagne",NA
"144",2018,10,15,"std",NA
"145",2018,10,16,"raisin",18.8125
"146",2018,10,16,"simone",10.6875
"147",2018,10,16,"gagne",10.6875
"148",2018,10,16,"std",20.975
"149",2018,10,17,"raisin",18.9375
"150",2018,10,17,"simone",10.8125
"151",2018,10,17,"gagne",10.8125
"152",2018,10,17,"std",20.975
"153",2018,10,18,"raisin",18.875
